QED-CCSD-2 results for Argon dimer (Cavity Frequency = 2.0 eV; coupling strength = 0.05 a.u.)
Distance Ar-Ar (A)                  E (outside)              E (pol x)                E (pol y)              E (pol z)

 3.000	                        -1053.929972274091		-1053.919492903369		-1053.919492903369		-1053.919018154112
 3.100	                        -1053.931592798108		-1053.921095778037		-1053.921095778038		-1053.920648320883
 3.200	                        -1053.932682209535		-1053.922169344044		-1053.922169344043		-1053.921747441726
 3.300	                        -1053.933406500825		-1053.922879392824		-1053.922879392824		-1053.922481822837
 3.400	                        -1053.933882340921		-1053.923342392409		-1053.923342392409		-1053.922968274800
 3.500	                        -1053.934190658590		-1053.923639108571		-1053.923639108571		-1053.923287761740
 3.600	                        -1053.934386739289		-1053.923824660365		-1053.923824660364		-1053.923495474444
 3.700	                        -1053.934507732139		-1053.923936063730		-1053.923936063730		-1053.923628393048
 3.800	                        -1053.934578336397		-1053.923997908343		-1053.923997908343		-1053.923710994027
 3.900	                        -1053.934614984175		-1053.924026539928		-1053.924026539928		-1053.923759468453
 4.000	                        -1053.934628776486		-1053.924032993410		-1053.924032993410		-1053.923784693214
 4.100	                        -1053.934627413246		-1053.924024916608		-1053.924024916608		-1053.923794186209
 4.200	                        -1053.934616372988		-1053.924007743712		-1053.924007743711		-1053.923793299778
 4.300	                        -1053.934599595321		-1053.923985373410		-1053.923985373410		-1053.923785906040
 4.400	                        -1053.934579877569		-1053.923960562952		-1053.923960562952		-1053.923774787402
 4.500	                        -1053.934559131550		-1053.923935200336		-1053.923935200335		-1053.923761881693
 4.600	                        -1053.934538581859		-1053.923910436442		-1053.923910436442		-1053.923748466801
 4.700	                        -1053.934518938881		-1053.923886958534		-1053.923886958534		-1053.923735320844
 4.800	                        -1053.934500552267		-1053.923865077957		-1053.923865077957		-1053.923722865309
 4.900	                        -1053.934483540169		-1053.923844877040		-1053.923844877040		-1053.923711230787
 5.000	                        -1053.934467889010		-1053.923826309601		-1053.923826309601		-1053.923700575761
 5.100	                        -1053.934453523120		-1053.923809270894		-1053.923809270894		-1053.923690822206
 5.200	                        -1053.934440347510		-1053.923793640426		-1053.923793640426		-1053.923681918365
 5.300	                        -1053.934428270035		-1053.923779303948		-1053.923779303948		-1053.923673869754
 5.400	                        -1053.934417209756		-1053.923766161411		-1053.923766161412		-1053.923666501289
 5.500	                        -1053.934407097458		-1053.923754127071		-1053.923754127071		-1053.923659828938
 5.600	                        -1053.934397872789		-1053.923743126144		-1053.923743126144		-1053.923653813235
 5.700	                        -1053.934389480754		-1053.923733090920		-1053.923733090920		-1053.923648417642
 5.800	                        -1053.934381868898		-1053.923723955726		-1053.923723955726		-1053.923643606361
 5.900	                        -1053.934374985674		-1053.923715662518		-1053.923715662518		-1053.923639343108
 6.000	                        -1053.934368779846		-1053.923708148761		-1053.923708148760		-1053.923635590703
 6.100	                        -1053.934363200585		-1053.923701355010		-1053.923701355010		-1053.923632311305
 6.200	                        -1053.934358197977		-1053.923695223381		-1053.923695223381		-1053.923629466917
 6.300	                        -1053.934353723606		-1053.923689698107		-1053.923689698106		-1053.923627020048
 6.400	                        -1053.934349731098		-1053.923684726046		-1053.923684726046		-1053.923624934277
 6.500	                        -1053.934346176516		-1053.923680257036		-1053.923680257035		-1053.923623174692
 6.600	                        -1053.934343018597		-1053.923676244119		-1053.923676244120		-1053.923621708206
 6.700	                        -1053.934340218854		-1053.923672643635		-1053.923672643635		-1053.923620503734
 6.800	                        -1053.934337741554		-1053.923669415178		-1053.923669415178		-1053.923619532257
 6.900	                        -1053.934335553701		-1053.923666521504		-1053.923666521504		-1053.923618766844
 7.000	                        -1053.934333624860		-1053.923663928402		-1053.923663928401		-1053.923618182613
 7.100	                        -1053.934331927081		-1053.923661604518		-1053.923661604519		-1053.923617756680
 7.200	                        -1053.934330434773		-1053.923659521230		-1053.923659521231		-1053.923617461170
 7.300	                        -1053.934329124568		-1053.923657652457		-1053.923657652457		-1053.923617290581
 7.400	                        -1053.934327975215		-1053.923655974520		-1053.923655974521		-1053.923617220993
 7.500	                        -1053.934326967471		-1053.923654466016		-1053.923654466016		-1053.923617244742
 7.600	                        -1053.934326083991		-1053.923653107643		-1053.923653107642		-1053.923617332505
 7.700	                        -1053.934325309218		-1053.923651882091		-1053.923651882092		-1053.923617479497
 7.800	                        -1053.934324629265		-1053.923650773894		-1053.923650773894		-1053.923617674839
 7.900	                        -1053.934324031811		-1053.923649769293		-1053.923649769293		-1053.923617909011
 8.000	                        -1053.934323505986		-1053.923648856100		-1053.923648856100		-1053.923618173757
